profile_id,scenario,launch_args,notes
baseline,single,use_noisy_measurement:=true noise_seed:=5101,legacy-compatible noise layer with ambiguity overlays off
near_threshold_ghost_only,single,use_noisy_measurement:=true noise_seed:=5101 ghost_detection_prob:=0.20 ghost_placement_mode:=near_threshold ghost_near_threshold_xy_min_m:=18.0 ghost_near_threshold_xy_max_m:=24.0 ghost_offset_z_std_m:=0.5,Wave 1 near-threshold ghost placement only
staggered_fragmentation_only,single,use_noisy_measurement:=true noise_seed:=5101 fragmentation_staggered_enabled:=true fragmentation_stagger_cycle_ticks:=6 fragmentation_stagger_phase_ticks:=1 fragmentation_stagger_gap_ticks:=2,Wave 1 staggered fragmentation only
wave1_combined,single,use_noisy_measurement:=true noise_seed:=5101 ghost_detection_prob:=0.18 ghost_placement_mode:=near_threshold ghost_near_threshold_xy_min_m:=18.0 ghost_near_threshold_xy_max_m:=24.0 ghost_offset_z_std_m:=0.5 fragmentation_staggered_enabled:=true fragmentation_stagger_cycle_ticks:=6 fragmentation_stagger_phase_ticks:=1 fragmentation_stagger_gap_ticks:=2,Wave 1 combined lifecycle stress
wave1_high_pressure,single,use_noisy_measurement:=true noise_seed:=5101 ghost_detection_prob:=0.24 ghost_placement_mode:=near_threshold ghost_near_threshold_xy_min_m:=17.5 ghost_near_threshold_xy_max_m:=24.5 ghost_offset_z_std_m:=0.6 fragmentation_staggered_enabled:=true fragmentation_stagger_cycle_ticks:=5 fragmentation_stagger_phase_ticks:=1 fragmentation_stagger_gap_ticks:=2,Wave 1 higher-pressure parser-safe lifecycle stress
