profile_id,scenario,launch_args,notes
baseline_legacy_single,single,use_noisy_measurement:=true noise_seed:=5101,legacy-compatible single-target baseline remains available
bringup_topology_only,bringup,counter_uas_config:=config_gazebo_counter_uas.yaml use_noisy_measurement:=true noise_seed:=5101 sensor_input_topic:=/drone/position_noisy,full-topology bringup baseline with explicit ambiguity propagation
cadence_aligned_coast_pressure,bringup,counter_uas_config:=config_gazebo_counter_uas.yaml use_noisy_measurement:=true noise_seed:=5101 sensor_input_topic:=/drone/position_noisy fragmentation_staggered_enabled:=true fragmentation_stagger_cycle_ticks:=5 fragmentation_stagger_phase_ticks:=1 fragmentation_stagger_gap_ticks:=4,Wave 3 cadence-aligned ~400 ms silence bursts
silence_resume_oscillation_pressure,bringup,counter_uas_config:=config_gazebo_counter_uas.yaml use_noisy_measurement:=true noise_seed:=5101 sensor_input_topic:=/drone/position_noisy fragmentation_staggered_enabled:=true fragmentation_stagger_cycle_ticks:=4 fragmentation_stagger_phase_ticks:=1 fragmentation_stagger_gap_ticks:=3,Wave 3 silence/resume oscillation in the ~300 ms regime
combined_wave3_lifecycle_pressure,bringup,counter_uas_config:=config_gazebo_counter_uas.yaml use_noisy_measurement:=true noise_seed:=5101 sensor_input_topic:=/drone/position_noisy fragmentation_staggered_enabled:=true fragmentation_stagger_cycle_ticks:=6 fragmentation_stagger_phase_ticks:=1 fragmentation_stagger_gap_ticks:=4,Wave 3 combined lifecycle pressure with longer effective silence spacing
wave3_high_pressure,bringup,counter_uas_config:=config_gazebo_counter_uas.yaml use_noisy_measurement:=true noise_seed:=5101 sensor_input_topic:=/drone/position_noisy fragmentation_staggered_enabled:=true fragmentation_stagger_cycle_ticks:=7 fragmentation_stagger_phase_ticks:=1 fragmentation_stagger_gap_ticks:=5,Wave 3 higher-pressure but deletion-safe threshold-edge stress
